,id,rating,predicted_rating,context_time,movie_id,learner_id,movie_knowledge_area,level_of_education,level_of_english,level_of_literature,level_of_history,level_of_biology,level_of_physics,level_of_math,learning_goal,learning_style
93,3260,3,,2017-12-04 18:00:36.759212+00,82,8,LT,ES,HL,HL,LL,ML,ML,HL,STL,SQN
94,3261,2,,2017-12-04 18:00:36.769564+00,250,8,,ES,HL,HL,LL,ML,ML,HL,STL,SQN
95,3262,4,,2017-12-04 18:00:36.779962+00,172,8,LT,ES,HL,HL,LL,ML,ML,HL,STL,SQN
96,3263,3,,2017-12-04 18:00:36.790566+00,153,8,,ES,HL,HL,LL,ML,ML,HL,STL,SQN
97,3264,2,,2017-12-04 18:00:36.801124+00,150,8,HT,ES,HL,HL,LL,ML,ML,HL,STL,SQN
98,3265,3,,2017-12-04 18:00:36.812389+00,216,8,LT,ES,HL,HL,LL,ML,ML,HL,STL,SQN
99,3293,1,5.169283,2017-12-04 18:10:53.681755+00,29,8,,ES,HL,HL,LL,ML,ML,HL,STL,SQN
100,3310,2,6.00582,2017-12-04 18:10:53.482189+00,48,8,LT,ES,HL,HL,LL,ML,ML,HL,STL,SQN
101,3294,5,5.819154,2017-12-04 18:10:53.500354+00,30,8,PH,ES,HL,HL,LL,ML,ML,HL,STL,SQN
102,3327,2,3.322378,2017-12-04 18:10:53.433671+00,65,8,PH,ES,HL,HL,LL,ML,ML,HL,STL,SQN
103,3423,5,4.009716,2017-12-04 18:10:53.558034+00,169,8,LT,ES,HL,HL,LL,ML,ML,HL,STL,SQN
104,3433,1,4.556026,2017-12-04 18:10:53.577099+00,180,8,,ES,HL,HL,LL,ML,ML,HL,STL,SQN
105,3435,3,6.244313,2017-12-04 18:10:53.658261+00,182,8,BL,ES,HL,HL,LL,ML,ML,HL,STL,SQN
106,8520,4,,2017-12-07 12:28:33.665936+00,166,29,LT,EM,HL,ML,LL,LL,ML,HL,STL,GLB
107,3405,5,4.612133999999999,2017-12-04 18:10:53.411475+00,148,8,BL,ES,HL,HL,LL,ML,ML,HL,STL,SQN
108,3602,2,5.618567,2017-12-04 18:10:53.593745+00,356,8,LT,ES,HL,HL,LL,ML,ML,HL,STL,SQN
109,3543,5,5.295517,2017-12-04 18:10:53.464995+00,296,8,,ES,HL,HL,LL,ML,ML,HL,STL,SQN
110,3596,4,5.151796,2017-12-04 18:10:53.51879+00,350,8,HT,ES,HL,HL,LL,ML,ML,HL,STL,SQN
111,3553,3,6.28399,2017-12-04 18:10:53.71793+00,306,8,,ES,HL,HL,LL,ML,ML,HL,STL,SQN
112,3547,3,3.9624949999999997,2017-12-04 18:10:53.734442+00,300,8,PH,ES,HL,HL,LL,ML,ML,HL,STL,SQN
113,8521,1,,2017-12-07 12:28:33.689527+00,388,29,,EM,HL,ML,LL,LL,ML,HL,STL,GLB
114,3481,3,5.3716,2017-12-04 18:10:53.537884+00,232,8,BL,ES,HL,HL,LL,ML,ML,HL,STL,SQN
115,3548,4,5.277642,2017-12-04 18:10:53.701766+00,301,8,PH,ES,HL,HL,LL,ML,ML,HL,STL,SQN
116,3499,5,2.618959,2017-12-04 18:10:53.393468+00,251,8,,ES,HL,HL,LL,ML,ML,HL,STL,SQN
117,3666,5,5.305854,2017-12-04 18:48:25.03939+00,3,11,EN,ES,HL,ML,ML,ML,HL,HL,LLL,GLB
118,3305,3,5.282578,2017-12-04 18:10:53.448542+00,42,8,LT,ES,HL,HL,LL,ML,ML,HL,STL,SQN
119,3603,5,5.018288,2017-12-04 18:10:53.612104+00,357,8,HT,ES,HL,HL,LL,ML,ML,HL,STL,SQN
120,3605,4,4.617245,2017-12-04 18:10:53.631685+00,359,8,PH,ES,HL,HL,LL,ML,ML,HL,STL,SQN
121,3555,4,6.631978,2017-12-04 18:10:53.709896+00,308,8,LT,ES,HL,HL,LL,ML,ML,HL,STL,SQN
122,3429,3,4.227933,2017-12-04 18:10:53.725968+00,176,8,HT,ES,HL,HL,LL,ML,ML,HL,STL,SQN
123,3651,5,,2017-12-04 18:30:47.877528+00,334,11,,ES,HL,ML,ML,ML,HL,HL,LLL,GLB
124,3652,5,,2017-12-04 18:30:47.897629+00,30,11,PH,ES,HL,ML,ML,ML,HL,HL,LLL,GLB
125,3653,3,,2017-12-04 18:30:47.91054+00,250,11,,ES,HL,ML,ML,ML,HL,HL,LLL,GLB
126,3654,1,,2017-12-04 18:30:47.925605+00,244,11,,ES,HL,ML,ML,ML,HL,HL,LLL,GLB
127,3655,4,,2017-12-04 18:30:47.93831+00,245,11,LT,ES,HL,ML,ML,ML,HL,HL,LLL,GLB
128,3656,4,,2017-12-04 18:30:47.951421+00,115,11,PH,ES,HL,ML,ML,ML,HL,HL,LLL,GLB
129,3657,4,,2017-12-04 18:30:47.965782+00,85,11,BL,ES,HL,ML,ML,ML,HL,HL,LLL,GLB
130,3658,4,,2017-12-04 18:30:47.978673+00,84,11,MT,ES,HL,ML,ML,ML,HL,HL,LLL,GLB
131,3659,4,,2017-12-04 18:30:47.991292+00,43,11,,ES,HL,ML,ML,ML,HL,HL,LLL,GLB
132,3660,5,,2017-12-04 18:30:48.011503+00,80,11,LT,ES,HL,ML,ML,ML,HL,HL,LLL,GLB
133,3661,3,,2017-12-04 18:30:48.02608+00,157,11,,ES,HL,ML,ML,ML,HL,HL,LLL,GLB
134,3662,4,,2017-12-04 18:30:48.039933+00,283,11,BL,ES,HL,ML,ML,ML,HL,HL,LLL,GLB
135,3663,4,,2017-12-04 18:30:48.05397+00,364,11,PH,ES,HL,ML,ML,ML,HL,HL,LLL,GLB
136,3709,5,5.450635,2017-12-04 18:48:25.084882+00,48,11,LT,ES,HL,ML,ML,ML,HL,HL,LLL,GLB
137,3664,5,4.554380999999999,2017-12-04 18:48:25.050194+00,1,11,HT,ES,HL,ML,ML,ML,HL,HL,LLL,GLB
138,3719,5,3.748985,2017-12-04 18:48:25.270361+00,58,11,HT,ES,HL,ML,ML,ML,HL,HL,LLL,GLB
139,3692,2,3.051395,2017-12-04 18:48:25.294799+00,29,11,,ES,HL,ML,ML,ML,HL,HL,LLL,GLB
140,8522,4,,2017-12-07 12:28:33.707362+00,7,29,LT,EM,HL,ML,LL,LL,ML,HL,STL,GLB
141,3679,5,5.565919,2017-12-04 18:48:25.253858+00,16,11,HT,ES,HL,ML,ML,ML,HL,HL,LLL,GLB
142,3696,3,1.541914,2017-12-04 18:48:25.100598+00,34,11,PH,ES,HL,ML,ML,ML,HL,HL,LLL,GLB
143,3848,4,9.780717999999998,2017-12-04 18:48:25.306291+00,192,11,,ES,HL,ML,ML,ML,HL,HL,LLL,GLB
144,3750,5,3.2082080000000004,2017-12-04 18:48:25.180455+00,92,11,LT,ES,HL,ML,ML,ML,HL,HL,LLL,GLB
145,3772,5,6.512671,2017-12-04 18:48:25.216639+00,114,11,,ES,HL,ML,ML,ML,HL,HL,LLL,GLB
146,3826,5,3.6658459999999997,2017-12-04 18:48:25.236004+00,170,11,,ES,HL,ML,ML,ML,HL,HL,LLL,GLB
147,3825,5,4.390041,2017-12-04 18:48:25.117064+00,169,11,LT,ES,HL,ML,ML,ML,HL,HL,LLL,GLB
148,3779,3,3.817648,2017-12-04 18:48:25.092732+00,122,11,,ES,HL,ML,ML,ML,HL,HL,LLL,GLB
149,8523,1,,2017-12-07 12:28:33.732191+00,248,29,,EM,HL,ML,LL,LL,ML,HL,STL,GLB
150,3841,4,4.28878,2017-12-04 18:48:25.125527+00,185,11,HT,ES,HL,ML,ML,ML,HL,HL,LLL,GLB
151,3732,5,5.977088,2017-12-04 18:48:25.261962+00,71,11,EN,ES,HL,ML,ML,ML,HL,HL,LLL,GLB
152,3849,5,8.456963,2017-12-04 18:48:25.314937+00,193,11,LT,ES,HL,ML,ML,ML,HL,HL,LLL,GLB
153,3744,4,7.163113,2017-12-04 18:48:25.3235+00,86,11,,ES,HL,ML,ML,ML,HL,HL,LLL,GLB
154,3783,5,9.171899,2017-12-04 18:48:25.011027+00,126,11,,ES,HL,ML,ML,ML,HL,HL,LLL,GLB
155,3959,4,5.684197,2017-12-04 18:48:25.348741+00,307,11,,ES,HL,ML,ML,ML,HL,HL,LLL,GLB
156,3966,3,5.412816,2017-12-04 18:48:25.172114+00,314,11,,ES,HL,ML,ML,ML,HL,HL,LLL,GLB
157,3940,4,3.818371,2017-12-04 18:48:25.197764+00,288,11,,ES,HL,ML,ML,ML,HL,HL,LLL,GLB
158,3934,5,8.076332,2017-12-04 18:48:25.226475+00,281,11,,ES,HL,ML,ML,ML,HL,HL,LLL,GLB
159,3880,5,5.184982,2017-12-04 18:48:25.332324+00,224,11,BL,ES,HL,ML,ML,ML,HL,HL,LLL,GLB
160,3902,5,0.8007850000000001,2017-12-04 18:48:25.20725+00,248,11,,ES,HL,ML,ML,ML,HL,HL,LLL,GLB
161,3949,5,4.852745,2017-12-04 18:48:25.069438+00,297,11,,ES,HL,ML,ML,ML,HL,HL,LLL,GLB
162,3951,5,6.632003999999999,2017-12-04 18:48:25.077173+00,299,11,,ES,HL,ML,ML,ML,HL,HL,LLL,GLB
163,3888,4,5.856871,2017-12-04 18:48:25.134429+00,232,11,BL,ES,HL,ML,ML,ML,HL,HL,LLL,GLB
164,3952,4,7.46409,2017-12-04 18:48:25.356625+00,300,11,PH,ES,HL,ML,ML,ML,HL,HL,LLL,GLB
165,3942,3,5.146825,2017-12-04 18:48:25.060262+00,290,11,LT,ES,HL,ML,ML,ML,HL,HL,LLL,GLB
166,3667,2,5.6162980000000005,2017-12-04 18:48:25.02091+00,4,11,HT,ES,HL,ML,ML,ML,HL,HL,LLL,GLB
167,3983,5,5.489172,2017-12-04 18:48:25.030111+00,331,11,HT,ES,HL,ML,ML,ML,HL,HL,LLL,GLB
168,4051,3,6.869053999999999,2017-12-04 18:48:25.109008+00,401,11,,ES,HL,ML,ML,ML,HL,HL,LLL,GLB
169,4042,5,4.638704,2017-12-04 18:48:25.143701+00,392,11,LT,ES,HL,ML,ML,ML,HL,HL,LLL,GLB
170,4005,3,6.588349000000001,2017-12-04 18:48:25.152955+00,354,11,BL,ES,HL,ML,ML,ML,HL,HL,LLL,GLB
171,3748,3,8.555774000000001,2017-12-04 18:48:25.162303+00,90,11,BL,ES,HL,ML,ML,ML,HL,HL,LLL,GLB
172,3900,4,4.436762,2017-12-04 18:48:25.188989+00,246,11,,ES,HL,ML,ML,ML,HL,HL,LLL,GLB
173,4030,3,3.8172989999999998,2017-12-04 18:48:25.244736+00,380,11,LT,ES,HL,ML,ML,ML,HL,HL,LLL,GLB
174,4010,1,2.594112,2017-12-04 18:48:25.278802+00,359,11,PH,ES,HL,ML,ML,ML,HL,HL,LLL,GLB
175,3687,5,7.206504,2017-12-04 18:48:25.286969+00,24,11,PH,ES,HL,ML,ML,ML,HL,HL,LLL,GLB
176,3815,5,4.3197730000000005,2017-12-04 18:48:25.340447+00,159,11,,ES,HL,ML,ML,ML,HL,HL,LLL,GLB
177,4056,5,,2017-12-05 16:04:34.765981+00,267,12,PH,MT,ML,ML,ML,ML,LL,ML,STL,GLB
178,4057,5,,2017-12-05 16:04:34.776441+00,15,12,LT,MT,ML,ML,ML,ML,LL,ML,STL,GLB
179,4058,5,,2017-12-05 16:04:34.78535+00,71,12,EN,MT,ML,ML,ML,ML,LL,ML,STL,GLB
180,4059,5,,2017-12-05 16:04:34.793783+00,358,12,LT,MT,ML,ML,ML,ML,LL,ML,STL,GLB
181,4084,5,12.242623,2017-12-05 16:15:19.013203+00,26,12,LT,MT,ML,ML,ML,ML,LL,ML,STL,GLB
182,4061,5,4.245037,2017-12-05 16:15:18.996375+00,2,12,LT,MT,ML,ML,ML,ML,LL,ML,STL,GLB
183,4087,5,10.511142999999999,2017-12-05 16:15:19.034334+00,29,12,,MT,ML,ML,ML,ML,LL,ML,STL,GLB
184,4082,5,5.2889230000000005,2017-12-05 16:15:19.020639+00,24,12,PH,MT,ML,ML,ML,ML,LL,ML,STL,GLB
185,4081,5,1.335223,2017-12-05 16:15:18.978089+00,23,12,BL,MT,ML,ML,ML,ML,LL,ML,STL,GLB
186,4088,5,7.091080000000001,2017-12-05 16:15:18.559184+00,30,12,PH,MT,ML,ML,ML,ML,LL,ML,STL,GLB
187,4166,5,13.170714000000002,2017-12-05 16:15:18.302115+00,109,12,PH,MT,ML,ML,ML,ML,LL,ML,STL,GLB
188,4114,5,16.173589,2017-12-05 16:15:18.490158+00,56,12,LT,MT,ML,ML,ML,ML,LL,ML,STL,GLB
189,4116,5,11.694836,2017-12-05 16:15:18.520291+00,58,12,HT,MT,ML,ML,ML,ML,LL,ML,STL,GLB
190,4216,5,8.890295,2017-12-05 16:15:18.708086+00,159,12,,MT,ML,ML,ML,ML,LL,ML,STL,GLB
191,4171,5,7.9102820000000005,2017-12-05 16:15:18.723417+00,114,12,,MT,ML,ML,ML,ML,LL,ML,STL,GLB
192,4143,5,16.021261,2017-12-05 16:15:18.263466+00,86,12,,MT,ML,ML,ML,ML,LL,ML,STL,GLB
193,4192,5,4.051821,2017-12-05 16:15:18.273769+00,135,12,BL,MT,ML,ML,ML,ML,LL,ML,STL,GLB
