id,rating,predicted_rating,context_time,movie_id,learner_id
4690,3,44.895508,2017-12-05 16:51:34.361887+00,228,13
4702,5,37.211027,2017-12-05 17:07:35.227633+00,240,13
4700,5,38.410749,2017-12-05 17:07:35.203212+00,238,13
4609,3,29.674022,2017-12-05 17:27:41.594086+00,147,13
4729,4,44.878793,2017-12-05 16:21:30.970912+00,268,13
4705,4,36.456044,2017-12-05 17:15:09.874693+00,244,13
4616,4,48.885381,2017-12-05 16:38:36.085157+00,154,13
4706,4,35.717887,2017-12-05 17:15:09.904673+00,245,13
4646,1,44.068899,2017-12-05 16:51:34.369845+00,184,13
4627,5,37.517985,2017-12-05 17:07:35.21047+00,165,13
4701,3,44.088321,2017-12-05 16:21:30.931616+00,239,13
4682,5,34.899307,2017-12-05 17:15:09.841507+00,220,13
4672,5,42.695798,2017-12-05 16:21:30.963062+00,210,13
4707,5,35.650177,2017-12-05 17:15:09.925061+00,246,13
4655,2,33.685788,2017-12-05 17:27:41.579787+00,193,13
4677,5,39.716257,2017-12-05 16:35:01.237907+00,215,13
4696,5,41.874572,2017-12-05 16:15:29.15258+00,234,13
4854,2,52.01517,2017-12-05 16:38:36.092741+00,394,13
4763,3,43.909645,2017-12-05 16:35:01.230728+00,302,13
4828,5,31.7963,2017-12-05 17:27:41.640291+00,368,13
4810,5,25.968424,2017-12-05 16:26:15.911203+00,349,13
4746,4,41.72686,2017-12-05 16:36:16.283661+00,285,13
8528,2,,2017-12-07 12:28:33.934307+00,68,29
4856,4,38.538539,2017-12-05 17:07:35.222155+00,396,13
4779,3,43.482967,2017-12-05 16:56:25.243136+00,318,13
4784,4,35.4765,2017-12-05 17:15:09.808189+00,323,13
4817,5,35.444732,2017-12-05 17:15:09.823566+00,357,13
4850,2,45.710473,2017-12-05 16:51:34.330246+00,390,13
4819,5,20.777903,2017-12-05 16:26:15.929244+00,359,13
4824,5,35.264945,2017-12-05 17:15:09.832878+00,364,13
4758,5,27.35995,2017-12-05 16:26:15.938635+00,297,13
4837,5,36.248426,2017-12-05 17:15:09.850661+00,377,13
4844,4,30.934083,2017-12-05 17:27:41.553184+00,384,13
4760,4,33.63026,2017-12-05 17:27:41.587036+00,299,13
4762,5,43.17659,2017-12-05 16:21:30.954707+00,301,13
4839,5,31.292303,2017-12-05 17:27:41.571201+00,379,13
4788,1,46.855826,2017-12-05 16:46:09.53024+00,327,13
4775,1,46.807712,2017-12-05 16:51:34.352523+00,314,13
4841,3,42.09482,2017-12-05 16:15:29.160552+00,381,13
4183,5,6.388739,2017-12-05 16:15:18.291182+00,126,12
4349,5,8.463017,2017-12-05 16:15:18.334233+00,293,12
4383,5,13.890662,2017-12-05 16:15:18.35345+00,327,12
4134,5,8.792407,2017-12-05 16:15:18.510081+00,77,12
4092,5,10.771694,2017-12-05 16:15:18.584378+00,34,12
4414,5,14.915454,2017-12-05 16:15:18.757321+00,359,12
4348,5,13.193775,2017-12-05 16:15:18.950531+00,292,12
4861,4,25.297443,2017-12-05 16:26:15.955295+00,401,13
4847,2,43.845679,2017-12-05 16:35:01.222911+00,387,13
4688,4,40.512577,2017-12-05 16:35:01.245384+00,226,13
4588,2,47.61913,2017-12-05 16:46:09.537778+00,126,13
4774,4,37.363892,2017-12-05 17:07:35.216296+00,313,13
4676,4,36.181683,2017-12-05 17:15:09.860988+00,214,13
4518,5,34.711428,2017-12-05 17:27:41.542321+00,56,13
4465,4,32.704737,2017-12-05 17:27:41.614843+00,3,13
4863,4,32.147388,2017-12-05 17:27:41.622199+00,403,13
4761,4,30.539493,2017-12-05 17:27:41.630383+00,300,13
4866,4,,2017-12-06 12:57:01.418118+00,368,14
4867,4,,2017-12-06 12:57:01.438507+00,55,14
4886,5,16.787576,2017-12-06 13:00:27.248398+00,19,14
4927,2,21.553018,2017-12-06 13:00:27.279678+00,61,14
4960,4,33.509774,2017-12-06 13:00:27.327031+00,94,14
4940,3,35.024437,2017-12-06 13:03:37.089478+00,74,14
4891,5,20.618559,2017-12-06 13:00:27.317663+00,24,14
4915,4,22.329215,2017-12-06 13:00:27.288561+00,48,14
4963,5,32.928197,2017-12-06 13:03:37.14799+00,97,14
4903,4,38.254561,2017-12-06 13:03:37.044904+00,36,14
5077,5,37.772125,2017-12-06 13:03:37.063108+00,211,14
